Cust_ID,Cust_Type,Tax_ID,FirstName,LastName,MiddleName,BirthDate,Primary_Citizenship,CountryRes,EmployerName,EmployStatus,MaritalStatus,Occupation,OrgName,EmployeeIND,CustomerStatus,Address1,Address2,Address3,City,State,Zipcode,Country
11,Individual,70-9653462,Waite,Skinn,Vita,1967-04-12,US,US,Shields-Boyer,Employed,Married,VP Sales,,Customer,Closed,05 Loftsgordon Street,,,Orlando,FL,32819,US
12,Individual,74-5096715,Jean,Laver,Millicent,1957-05-19,US,US,"Schmitt, Moen and Brown",Employed,Single,Civil Engineer,,Customer,Active,792 Sugar Way,,,South Bend,IN,46634,US
13,Individual,59-8670309,Adelice,Peat,Deni,1934-04-21,US,US,Zulauf-Breitenberg,Employed,Married,Quality Engineer,,Customer,Closed,259 Graceland Street,,,Brooklyn,NY,11210,US
14,Individual,96-7973817,Garwin,O'Curran,Mathew,1975-05-27,US,US,"Berge, Kuphal and Streich",Employed,Single,VP Sales,,Customer,Active,8122 Kenwood Road,,,Kansas City,MO,64199,US
15,Individual,02-1806215,Baron,Roullier,Elaine,1975-10-14,US,US,D'Amore LLC,Employed,Married,Accounting Assistant III,,Customer,Active,45 Walton Street,,,Dallas,TX,75265,US
16,Individual,01-3180053,Jacquenette,Beese,Anette,1981-09-09,US,US,Hettinger LLC,Employed,Married,Nurse Practicioner,,Customer,Active,60 Hallows Avenue,,,Oakland,CA,94616,US
17,Individual,63-3978375,Jodie,Heineken,Craig,1958-08-30,US,US,Gottlieb and Sons,Employed,Married,Engineer III,,Customer,Active,85 Mockingbird Way,,,Chico,CA,95973,US
18,Individual,20-0635648,Rafe,Booth-Jarvis,Biron,1949-12-29,US,US,"Pouros, Barrows and Emard",Employed,Widow,Technical Writer,,Customer,Active,90 Mockingbird Way,,,Lansing,MI,48912,US
19,Individual,29-3370892,Lena,Spedroni,Candi,1951-09-29,US,US,"Wyman, Mertz and Schmeler",Employed,Widow,Financial Advisor,,Employee,Closed,5861 Dovetail Center,,,Washington,DC,20057,US
20,Individual,30-1319295,Rafferty,Falconer,Padraic,1991-02-26,US,US,Heller Group,Employed,Widow,Geologist II,,Customer,Closed,53089 Center Center,,,Los Angeles,CA,90045,US
21,Individual,50-5639451,Hubie,Galpen,Roberta,1979-01-27,US,US,"McDermott, VonRueden and Blanda",Employed,Single,Environmental Tech,,Employee,Active,2555 7th Terrace,,,Hicksville,NY,11854,US
22,Individual,04-0677905,Rafa,Yukhov,Constantine,1956-10-15,US,US,Williamson-Schaden,Employed,Married,Account Executive,,Customer,Closed,25 Butterfield Alley,,,Indianapolis,IN,46278,US
23,Individual,58-5386398,Karin,Spyvye,Jacinda,1958-11-25,US,US,Spinka Group,Employed,Widow,Information Systems Manager,,Customer,Active,7296 Tony Parkway,,,New Orleans,LA,70142,US
24,Individual,54-3534099,Stepha,Scad,Nancy,1962-10-24,US,US,Schinner and Sons,Employed,Single,Librarian,,Customer,Active,86 Shelley Center,,,Colorado Springs,CO,80905,US
25,Individual,52-6833605,Otes,Myrtle,Petronilla,1961-04-26,US,US,,Unemployed,Married,Engineer II,,Customer,Closed,90 Dovetail Plaza,,,Dallas,TX,75353,US
26,Individual,20-1039418,Robbie,Farmloe,Dorry,1954-12-15,US,US,Gerlach-Hilpert,Employed,Married,Payment Adjustment Coordinator,,Customer,Closed,359 Mallard Center,,,Philadelphia,PA,19184,US
27,Individual,32-9448586,Charo,Guilayn,Aldric,1999-12-31,US,US,"Ryan, Kemmer and Lakin",Employed,Widow,Civil Engineer,,Customer,Active,65677 American Ash Junction,,,Memphis,TN,38109,US
28,Individual,24-4267775,Gage,Causier,Manya,1978-07-15,US,US,Rau-Murazik,Employed,Married,Account Representative IV,,Customer,Active,1 Petterle Trail,,,Springfield,IL,62723,US
29,Individual,17-1214907,Shane,Illston,Livia,1974-09-20,US,US,"Blanda, Reinger and VonRueden",Employed,Married,Senior Quality Engineer,,Customer,Closed,618 Rutledge Street,,,Newport News,VA,23612,US
30,Individual,40-6870346,Vanda,Klyner,Demetri,1940-09-07,US,US,,Unemployed,Single,Account Coordinator,,Customer,Closed,61807 Briar Crest Terrace,,,Charlotte,NC,28230,US
31,Individual,56-7799145,Maddie,Aires,Pavia,1966-10-08,US,US,"Fisher, Gleichner and Oberbrunner",Employed,Widow,Senior Quality Engineer,,Customer,Active,6792 West Trail,,,Salt Lake City,UT,84110,US
32,Individual,11-1330935,Martynne,Redit,Connie,1931-09-18,US,US,,Unemployed,Married,General Manager,,Customer,Closed,4167 Lakewood Gardens Plaza,,,Boulder,CO,80310,US
33,Individual,63-5807802,Valerie,Ivimy,Abramo,1985-09-30,US,US,Kunde-Gerhold,Employed,Single,Senior Financial Analyst,,Customer,Active,850 Monterey Crossing,,,Long Beach,CA,90810,US
34,Individual,37-6923665,Kylen,Sizland,Rosamond,1937-12-14,US,US,Rohan-Schmeler,Employed,Widow,Assistant Professor,,Customer,Active,01170 Huxley Lane,,,Phoenix,AZ,85015,US
35,Individual,19-1690197,Ronda,Lovat,Ephraim,1977-10-24,US,US,Kutch Group,Employed,Married,Safety Technician II,,Customer,Active,2 Bluestem Drive,,,Columbus,OH,43215,US
36,Individual,52-6653151,Witty,Whittek,Melony,1967-09-21,US,US,,Unemployed,Single,Recruiting Manager,,Customer,Closed,061 Miller Place,,,Clearwater,FL,34629,US
37,Individual,11-3583569,Dixie,Oswick,Thorin,1987-10-07,US,US,Adams-Greenfelder,Employed,Married,Nuclear Power Engineer,,Customer,Closed,5 Raven Parkway,,,Arlington,TX,76096,US
38,Individual,53-4275773,Daryl,Robjohns,Minnie,1940-11-10,US,US,,Unemployed,Married,Analog Circuit Design manager,,Customer,Active,98 Shopko Court,,,Shreveport,LA,71137,US
39,Individual,59-0089007,Earvin,Millin,Jobey,1986-03-17,US,US,Kling-Maggio,Employed,Single,Design Engineer,,Customer,Active,6048 Continental Avenue,,,Chandler,AZ,85246,US
40,Individual,44-8851385,Valery,Truelock,Nikolos,1930-11-18,US,US,Armstrong-Towne,Employed,Married,Geological Engineer,,Employee,Closed,34882 Fremont Center,,,Detroit,MI,48242,US
41,Individual,80-2560917,Boote,Bessey,Jenelle,1974-01-17,US,US,,Unemployed,Married,Pharmacist,,Customer,Active,81 Spenser Lane,,,Boise,ID,83716,US
42,Individual,76-6176459,Myrtle,Le-Good,Uri,1976-05-10,US,US,Gibson and Sons,Employed,Married,GIS Technical Architect,,Customer,Closed,314 Westridge Crossing,,,Spartanburg,SC,29319,US
43,Individual,93-2574937,Kirby,Nibley,Sula,1953-05-01,US,US,"Rath, Ward and Goodwin",Employed,Single,VP Accounting,,Customer,Closed,19112 Dryden Street,,,Huntington,WV,25716,US
44,Individual,98-9712026,Nanon,Land,Vi,1945-01-06,US,US,"Dietrich, O'Connell and Predovic",Employed,Single,VP Quality Control,,Customer,Closed,07 Buena Vista Parkway,,,Houston,TX,77206,US
45,Individual,85-1776821,Palm,Janovsky,Cortie,1972-04-26,US,US,Wolf-Boehm,Employed,Married,Engineer II,,Customer,Active,71425 Sloan Avenue,,,Cleveland,OH,44177,US
46,Individual,75-2185515,Dale,Voas,Vic,1973-11-09,US,US,,Unemployed,Widow,Automation Specialist IV,,Customer,Active,40343 Arizona Park,,,Fort Worth,TX,76192,US
47,Individual,33-4702960,Desmond,Mieville,Suzy,1933-07-01,US,US,Klein-Gerhold,Employed,Married,Developer II,,Customer,Closed,356 Schlimgen Way,,,Pittsburgh,PA,15274,US
48,Individual,57-8699411,Leola,Folk,Hortensia,1935-07-25,US,US,Glover-Friesen,Employed,Single,Payment Adjustment Coordinator,,Customer,Closed,89423 Milwaukee Pass,,,New York City,NY,10120,US
49,Individual,32-1593203,Kendrick,Duchasteau,Aggy,1980-11-28,US,US,Lubowitz Inc,Employed,Married,Help Desk Operator,,Employee,Active,24520 Sunbrook Crossing,,,Washington,DC,20319,US
50,Individual,53-4171187,Cordie,Crutch,Bili,1953-03-20,US,US,Marvin-Gibson,Employed,Single,Environmental Specialist,,Customer,Active,67 Sachs Park,,,Washington,DC,20051,US
51,Individual,23-7727597,Bailie,De Benedictis,Laurie,1945-09-10,US,US,,Unemployed,Widow,Geological Engineer,,Customer,Closed,6946 Jana Point,,,Richmond,VA,23213,US
52,Individual,07-1024312,Ansel,Walbrun,Bartlett,1959-01-31,US,US,Stiedemann Group,Employed,Married,Junior Executive,,Customer,Closed,52 Evergreen Plaza,,,Washington,DC,20057,US
53,Individual,66-3667247,Nils,McSparran,Madeleine,1952-12-27,US,US,,Unemployed,Married,Operator,,Customer,Active,35 Monument Place,,,Tampa,FL,33686,US
54,Individual,90-1076410,Janka,Catterick,Steffie,1975-05-01,US,US,Konopelski LLC,Employed,Married,Administrative Assistant IV,,Customer,Active,83 Colorado Circle,,,San Jose,CA,95150,US
55,Individual,41-4817212,Cookie,Ganford,Lark,1932-09-07,US,US,,Unemployed,Single,Editor,,Customer,Active,1453 Bultman Hill,,,Lake Charles,LA,70607,US
56,Individual,10-6128033,Gerianne,Bunyard,Teddie,1999-02-14,US,US,O'Conner-Weber,Employed,Single,Desktop Support Technician,,Customer,Active,7 Hermina Alley,,,Birmingham,AL,35254,US
57,Individual,36-9136502,Cosme,MacAllan,Cortie,1985-02-17,US,US,Auer Group,Employed,Single,Internal Auditor,,Customer,Active,3375 Melody Place,,,Spokane,WA,99215,US
58,Individual,16-4812863,Kiri,Van Der Straaten,Tobit,1932-04-28,US,US,,Unemployed,Single,Accountant I,,Customer,Active,74 Bunting Way,,,Gilbert,AZ,85297,US
59,Individual,26-8879999,Barri,Hampstead,Northrop,1946-06-18,US,US,Krajcik-Blanda,Employed,Single,Account Representative I,,Customer,Active,925 Rockefeller Parkway,,,Chicago,IL,60686,US
60,Individual,79-5932775,Clywd,Moodie,Eada,1933-11-30,US,US,,Unemployed,Single,Compensation Analyst,,Customer,Closed,643 Old Shore Point,,,Garden Grove,CA,92645,US
61,Individual,79-7586019,Nev,Muff,Marna,1991-07-08,US,US,"McDermott, Turcotte and King",Employed,Married,Research Associate,,Customer,Active,99591 Northridge Point,,,Jamaica,NY,11499,US
62,Individual,27-0325439,Audra,Mitchenson,Deedee,1959-08-19,US,US,Berge-Hirthe,Employed,Single,Clinical Specialist,,Customer,Closed,42362 Sycamore Park,,,El Paso,TX,79955,US
63,Individual,96-8975813,Anson,Hatzar,Tybie,1965-09-02,US,US,"Schaefer, Nikolaus and Blick",Employed,Widow,Nurse,,Customer,Closed,77 Morning Terrace,,,Huntington,WV,25705,US
64,Individual,57-8165638,Babb,Caulkett,Nedi,1986-03-28,US,US,"Bauch, DuBuque and Rath",Employed,Widow,Staff Accountant I,,Customer,Closed,70 Independence Way,,,Spokane,WA,99252,US
65,Individual,49-5657588,James,Eakins,Joete,1954-01-02,US,US,Schmitt LLC,Employed,Married,Analog Circuit Design manager,,Customer,Active,7051 Lighthouse Bay Court,,,Canton,OH,44710,US
66,Individual,56-3593291,Barnabas,Bollard,Perren,1951-10-28,US,US,Runte Group,Employed,Widow,Accountant II,,Customer,Closed,92527 Luster Avenue,,,Chicago,IL,60619,US
67,Individual,99-4979302,Melvin,Harnwell,Jena,1949-01-07,US,US,"Kutch, Rogahn and Dicki",Employed,Widow,Help Desk Operator,,Customer,Closed,092 Morningstar Point,,,Moreno Valley,CA,92555,US
68,Individual,71-9477444,Guido,Threlkeld,Ber,1948-11-20,US,US,Renner-Tromp,Employed,Single,General Manager,,Customer,Closed,41300 Becker Place,,,Saint Petersburg,FL,33715,US
69,Individual,32-2096666,Kingston,Labet,Breena,1992-01-25,US,US,Wuckert-Dibbert,Employed,Married,Product Engineer,,Customer,Active,94 Aberg Trail,,,Oklahoma City,OK,73135,US
70,Individual,73-6636562,Christian,Butner,Amara,1975-02-19,US,US,Nader-Schultz,Employed,Married,Director of Sales,,Customer,Active,721 Service Plaza,,,Madison,WI,53790,US
71,Individual,80-6040728,Jayson,Groucutt,Darrin,1949-11-28,US,US,Russel-Pfeffer,Employed,Widow,Senior Editor,,Customer,Closed,0998 Grim Way,,,Lawrenceville,GA,30045,US
72,Individual,37-9173349,Nikkie,Oglethorpe,Kipp,1999-07-26,US,US,Hamill and Sons,Employed,Single,Structural Engineer,,Customer,Active,7126 Packers Trail,,,Midland,TX,79710,US
73,Individual,07-1993558,Britni,Brands,Ferdinanda,1954-03-24,US,US,Denesik-Lebsack,Employed,Married,Business Systems Development Analyst,,Customer,Active,31789 Upham Alley,,,Topeka,KS,66642,US
74,Individual,29-8246918,Harley,Wogden,Mitchel,1939-04-24,US,US,Hackett and Sons,Employed,Married,Associate Professor,,Customer,Closed,19545 Bayside Center,,,Charlottesville,VA,22903,US
75,Individual,75-2625944,Tadio,Commander,Duncan,1975-02-05,US,US,"Bauch, O'Reilly and Hirthe",Employed,Married,Compensation Analyst,,Customer,Closed,68 Lake View Street,,,Asheville,NC,28805,US
76,Individual,64-6406378,Pernell,Whichelow,Maisey,1967-02-07,US,US,,Unemployed,Married,Nurse Practicioner,,Customer,Closed,48839 Killdeer Lane,,,Washington,DC,20073,US
77,Individual,44-1287806,Haze,Frossell,Talya,1996-12-22,US,US,Douglas-Hettinger,Employed,Single,Executive Secretary,,Customer,Active,5007 Clyde Gallagher Way,,,San Diego,CA,92153,US
78,Individual,18-2403642,Wallie,Salmond,Felicio,1997-08-04,US,US,McGlynn-Huel,Employed,Widow,Senior Sales Associate,,Customer,Active,93005 Susan Park,,,Mesa,AZ,85205,US
79,Individual,54-2408616,Johnnie,Dargue,Jammie,1931-03-10,US,US,Batz-Cruickshank,Employed,Widow,Tax Accountant,,Customer,Closed,30044 Orin Park,,,Bronx,NY,10464,US
80,Individual,07-8703354,Wernher,Draco,Pate,2000-12-16,US,US,Kessler Inc,Employed,Married,Accountant IV,,Customer,Active,521 Merrick Plaza,,,San Antonio,TX,78240,US
81,Individual,57-7139326,Marthena,Lowle,Luelle,1932-03-13,US,US,Larkin-Carter,Employed,Widow,Quality Engineer,,Customer,Active,015 Hoard Avenue,,,Tempe,AZ,85284,US
82,Individual,82-6672176,Haley,Adami,Ardene,1948-05-15,US,US,Baumbach-Rath,Employed,Single,Editor,,Customer,Closed,104 Mccormick Drive,,,Lansing,MI,48930,US
83,Individual,28-3436589,Valera,Pennoni,Geralda,1995-12-15,US,US,Zieme Inc,Employed,Widow,Assistant Media Planner,,Customer,Active,9 Hauk Center,,,Jamaica,NY,11407,US
84,Individual,43-7302319,Devon,Kief,Lanny,1931-09-18,US,US,"Leannon, Quitzon and Leuschke",Employed,Married,Nurse Practicioner,,Customer,Closed,914 Bobwhite Terrace,,,Charleston,SC,29424,US
85,Individual,82-7966554,Jacinda,Blasio,Sonny,1975-11-26,US,US,Kreiger-Ward,Employed,Single,Programmer Analyst II,,Customer,Active,8522 Corben Drive,,,Austin,TX,78732,US
86,Individual,36-2237885,Ainsley,Heifer,Salmon,1932-11-14,US,US,Russel-Johnson,Employed,Widow,Budget/Accounting Analyst I,,Customer,Active,96537 Jackson Junction,,,Jackson,MS,39296,US
87,Individual,92-9295186,Gusta,Ower,Lisle,1946-05-24,US,US,"Hane, Boyer and Prosacco",Employed,Married,Programmer Analyst III,,Customer,Closed,1051 Brickson Park Center,,,Pasadena,CA,91125,US
88,Individual,40-0913101,Guthry,Ipsly,Ebeneser,1945-03-23,US,US,DuBuque-Brown,Employed,Widow,Executive Secretary,,Customer,Active,90 Gerald Park,,,Washington,DC,20205,US
89,Individual,98-6718335,Marjie,Norval,Wilow,1981-03-31,US,US,Beahan-Zboncak,Employed,Single,Mechanical Systems Engineer,,Customer,Active,9532 Fremont Park,,,Oakland,CA,94605,US
90,Individual,15-2457763,Gwendolyn,Rossbrook,Mic,1938-03-28,US,US,Berge-Gislason,Employed,Single,Accounting Assistant III,,Customer,Closed,732 Northridge Place,,,Lake Charles,LA,70607,US
91,Individual,85-4066190,Shani,Walisiak,Arther,1993-09-10,US,US,"Schimmel, Hackett and Metz",Employed,Single,Assistant Media Planner,,Customer,Active,1 Bellgrove Drive,,,Independence,MO,64054,US
92,Individual,48-9484671,Peggy,Roydon,Brnaby,1947-07-21,US,US,,Unemployed,Married,Mechanical Systems Engineer,,Customer,Active,28303 Caliangt Lane,,,Miami,FL,33196,US
93,Individual,25-2142522,Agretha,Antognetti,Randy,1965-01-30,US,US,"Wilderman, Cruickshank and Farrell",Employed,Married,Legal Assistant,,Customer,Active,3 Redwing Point,,,Nashville,TN,37210,US
94,Individual,55-3809046,Alicia,Calafate,Dorene,1985-09-06,US,US,"Heidenreich, Wuckert and Ziemann",Employed,Single,Food Chemist,,Customer,Active,6 Gina Place,,,Mobile,AL,36605,US
95,Individual,99-8288069,Amalia,Jado,Jessica,1980-08-14,US,US,Hyatt and Sons,Employed,Single,Automation Specialist II,,Customer,Active,53979 Maryland Park,,,Denver,CO,80279,US
96,Individual,89-4460249,Marcelo,Strothers,Viola,1970-06-21,US,US,"Veum, Hintz and Reinger",Employed,Married,Financial Advisor,,Customer,Closed,2 School Hill,,,Glendale,CA,91210,US
97,Individual,21-9628799,Hansiain,Bahl,Blane,1960-05-29,US,US,"Witting, Waelchi and Jaskolski",Employed,Widow,Junior Executive,,Customer,Closed,147 Declaration Parkway,,,Minneapolis,MN,55446,US
98,Individual,05-0672346,Ailene,Basil,Huntley,1946-02-05,US,US,"Lind, Ebert and Abbott",Employed,Single,Environmental Tech,,Customer,Active,1 John Wall Parkway,,,Fullerton,CA,92835,US
99,Individual,98-4639249,Myrah,Ruggier,Erie,1978-03-21,US,US,"Littel, Considine and Leannon",Employed,Single,Software Test Engineer II,,Customer,Active,6 Northwestern Terrace,,,Oakland,CA,94627,US
100,Individual,16-2077073,Daniela,Redemile,Theadora,1984-03-09,US,US,Tromp and Sons,Employed,Married,Programmer Analyst IV,,Customer,Active,07 Raven Plaza,,,Tampa,FL,33605,US
101,Individual,88-3882941,Jaimie,Bidder,Deeann,1959-12-12,US,US,"Hagenes, Lakin and Wunsch",Employed,Married,Web Developer II,,Customer,Active,2 Dexter Park,,,Fort Lauderdale,FL,33305,US
102,Individual,91-5691070,Dickie,Doy,Marillin,1956-03-19,US,US,,Unemployed,Married,Help Desk Technician,,Customer,Active,03 Morning Junction,,,Young America,MN,55557,US
103,Individual,46-0613935,Rebekah,Worg,Berkie,1944-02-10,US,US,Morar and Sons,Employed,Single,Health Coach II,,Customer,Closed,998 Shoshone Hill,,,Erie,PA,16505,US
104,Individual,33-2836621,Veriee,Roistone,Fanechka,1966-01-13,US,US,Thiel-Kuhn,Employed,Widow,GIS Technical Architect,,Customer,Closed,3 Hooker Court,,,Shawnee Mission,KS,66220,US
105,Individual,21-9902236,Legra,Slingsby,Janessa,1993-03-05,US,US,,Unemployed,Widow,Dental Hygienist,,Customer,Active,301 Saint Paul Junction,,,Saint Louis,MO,63196,US
106,Individual,09-0157678,Isak,Sapir,Tasha,1987-03-05,US,US,"Johnson, Gibson and Lind",Employed,Widow,Tax Accountant,,Customer,Active,4467 Farwell Drive,,,Dallas,TX,75387,US
107,Individual,98-7346568,Franz,Wieprecht,Hally,1979-12-11,US,US,Hauck and Sons,Employed,Widow,Account Coordinator,,Customer,Closed,5 Chinook Trail,,,Lexington,KY,40576,US
108,Individual,07-1432019,Adriaens,Kenan,Cynthia,1959-04-07,US,US,"Balistreri, Haag and Spinka",Employed,Widow,Database Administrator II,,Customer,Closed,8359 Division Center,,,Ocala,FL,34474,US
109,Individual,66-0515335,Tades,Riordan,Kendra,1971-09-09,US,US,Kling-Bartoletti,Employed,Married,General Manager,,Customer,Active,6 Dayton Place,,,Buffalo,NY,14276,US
110,Individual,06-7116258,Carr,Brosi,Glen,1997-04-08,US,US,Corkery LLC,Employed,Single,Payment Adjustment Coordinator,,Customer,Closed,6 Pleasure Park,,,Warren,OH,44485,US
111,Individual,42-0847553,Raphael,McCreadie,Lelia,1996-05-13,US,US,"Baumbach, Bernhard and Wiegand",Employed,Single,Design Engineer,,Customer,Closed,4788 Ryan Terrace,,,Reston,VA,22096,US
112,Individual,52-1834648,Dolley,Jenoure,Keven,1960-03-03,US,US,Hauck-Nader,Employed,Widow,General Manager,,Customer,Closed,45 Ryan Center,,,Omaha,NE,68164,US
113,Individual,95-0787896,Lane,Burbage,Don,1968-05-02,US,US,"Lehner, Volkman and Kirlin",Employed,Single,Assistant Professor,,Customer,Closed,64580 David Junction,,,Spokane,WA,99220,US
114,Individual,28-9261179,Benjy,O'Caherny,Demeter,1955-05-18,US,US,Bernhard-Connelly,Employed,Widow,Quality Control Specialist,,Customer,Active,439 Dahle Terrace,,,Salt Lake City,UT,84105,US
115,Individual,68-3660110,Auberta,Loblie,Winifred,1998-09-16,US,US,Simonis LLC,Employed,Single,Senior Editor,,Customer,Active,19267 Miller Drive,,,Montgomery,AL,36104,US
116,Individual,22-5827335,Reg,Filchakov,Demott,1954-02-09,US,US,Gerhold-Kunde,Employed,Married,Internal Auditor,,Customer,Active,4325 Rowland Pass,,,Indianapolis,IN,46221,US
117,Individual,81-6330400,Randi,McLarnon,Murial,1981-12-06,US,US,,Unemployed,Widow,Pharmacist,,Employee,Active,63004 Morrow Terrace,,,Sioux Falls,SD,57198,US
118,Individual,42-5029278,Clara,Smorfit,Emmeline,1991-12-31,US,US,Erdman LLC,Employed,Widow,Software Test Engineer II,,Customer,Active,45 Red Cloud Plaza,,,Virginia Beach,VA,23459,US
119,Individual,98-6590297,Raeann,Shapiro,Domenic,1969-05-18,US,US,"MacGyver, Littel and Harris",Employed,Married,Nurse Practicioner,,Customer,Closed,9532 Lindbergh Way,,,Atlanta,GA,30306,US
120,Individual,77-3771683,Tiebold,Edward,Joletta,1946-05-25,US,US,White-Hodkiewicz,Employed,Single,Automation Specialist IV,,Customer,Active,42658 Ohio Terrace,,,Fresno,CA,93740,US
121,Individual,91-7765861,Redford,McGeouch,Ricky,1939-06-26,US,US,Lowe LLC,Employed,Married,Librarian,,Customer,Active,29 Artisan Road,,,San Francisco,CA,94177,US
122,Individual,89-5657432,Gaye,Baudi,Nickolaus,1954-11-30,US,US,"Gottlieb, Leffler and Waelchi",Employed,Widow,Nurse Practicioner,,Customer,Closed,82605 Springview Point,,,Topeka,KS,66629,US
123,Individual,75-9287307,Lorie,Pickworth,Brear,1973-08-17,US,US,"McCullough, Hagenes and Blick",Employed,Married,Geologist I,,Customer,Closed,07 Heffernan Hill,,,Birmingham,AL,35263,US
124,Individual,38-8187181,Ruprecht,Dobbin,Boonie,1932-05-17,US,US,Moore LLC,Employed,Widow,Actuary,,Customer,Closed,48 Corscot Center,,,Evansville,IN,47712,US
125,Individual,72-6273224,Silvan,David,Alonzo,1973-01-09,US,US,,Unemployed,Widow,Recruiter,,Customer,Closed,0190 La Follette Crossing,,,Mobile,AL,36616,US
126,Individual,69-7923676,Trumann,Milward,Udell,2000-07-02,US,US,Morar LLC,Employed,Widow,Librarian,,Customer,Active,23 Express Road,,,Springfield,MA,01105,US
127,Individual,40-8450596,Cathy,Stert,Roobbie,1950-07-17,US,US,"Sauer, Gottlieb and O'Conner",Employed,Married,Software Engineer I,,Customer,Active,26 Beilfuss Trail,,,Arlington,VA,22244,US
128,Individual,22-8403406,Eddie,Siggee,Vincent,1944-09-14,US,US,"Koepp, Ziemann and Metz",Employed,Widow,Automation Specialist I,,Customer,Active,81 Loeprich Road,,,Laurel,MD,20709,US
129,Individual,98-8335256,Isa,Showen,Danica,1951-12-10,US,US,"Fahey, Little and Larkin",Employed,Single,Research Nurse,,Customer,Closed,3477 Marcy Alley,,,Laurel,MD,20709,US
130,Individual,03-0825540,Bonny,Balam,Valenka,1992-12-24,US,US,,Unemployed,Single,Account Executive,,Customer,Closed,91 Pennsylvania Park,,,New Orleans,LA,70187,US
131,Individual,57-6693146,Konstance,Wurz,Rudyard,1975-08-30,US,US,Predovic Inc,Employed,Single,Recruiting Manager,,Customer,Active,6 Little Fleur Park,,,Beaumont,TX,77705,US
132,Individual,61-7345921,Patrica,Gover,Frans,1940-07-08,US,US,West Inc,Employed,Widow,Assistant Professor,,Customer,Active,09 Oak Alley,,,Seattle,WA,98133,US
133,Individual,83-1921238,Elaina,Lightbourn,Morry,1941-08-26,US,US,"Schamberger, McLaughlin and Schmidt",Employed,Widow,Registered Nurse,,Customer,Closed,6354 Oak Valley Trail,,,Springfield,IL,62764,US
134,Individual,67-5836664,Philip,Wildey,Mary,1984-04-13,US,US,,Unemployed,Married,Business Systems Development Analyst,,Customer,Active,15 Arrowood Lane,,,Cincinnati,OH,45243,US
135,Individual,68-2528377,Rosana,Crathorne,Bertrando,1941-01-02,US,US,Lang-Parisian,Employed,Widow,Sales Representative,,Customer,Closed,10897 Ohio Crossing,,,Rochester,NY,14614,US
136,Individual,91-8895432,Tremayne,Sherar,Nat,1942-06-08,US,US,"Klocko, McClure and Hammes",Employed,Widow,Account Executive,,Customer,Closed,94240 Annamark Lane,,,Provo,UT,84605,US
137,Individual,25-0892322,Annelise,Bruckman,Marcela,1992-01-30,US,US,,Unemployed,Married,Community Outreach Specialist,,Customer,Active,5 Sachtjen Avenue,,,Jackson,TN,38308,US
138,Individual,32-5654986,Saidee,Commuzzo,Gerianne,1979-03-01,US,US,Mraz-Williamson,Employed,Single,VP Sales,,Customer,Closed,407 Maywood Alley,,,Greensboro,NC,27499,US
139,Individual,67-5536738,Dinah,Columbine,Katherina,1946-10-14,US,US,"Ankunding, Schowalter and Kuphal",Employed,Married,Food Chemist,,Customer,Closed,1 Oneill Street,,,Greeley,CO,80638,US
